timestamp: 2248 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,98431
timestamp: 2266 | hand: Left | pinchStrength: 0 | finger: index | distance: 97,95931
timestamp: 2286 | hand: Left | pinchStrength: 0 | finger: index | distance: 99,01347
timestamp: 2304 | hand: Left | pinchStrength: 0 | finger: index | distance: 100,0947
timestamp: 2322 | hand: Left | pinchStrength: 0 | finger: index | distance: 101,0566
timestamp: 2341 | hand: Left | pinchStrength: 0 | finger: index | distance: 101,7927
timestamp: 2360 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,2529
timestamp: 2379 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,5752
timestamp: 2395 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,6059
timestamp: 2412 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,6017
timestamp: 2429 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,3631
timestamp: 2447 | hand: Left | pinchStrength: 0 | finger: index | distance: 102,0873
timestamp: 2465 | hand: Left | pinchStrength: 0 | finger: index | distance: 101,6606
timestamp: 2484 | hand: Left | pinchStrength: 0 | finger: index | distance: 101,3116
timestamp: 2501 | hand: Left | pinchStrength: 0 | finger: index | distance: 100,7073
timestamp: 2519 | hand: Left | pinchStrength: 0 | finger: index | distance: 99,89347
timestamp: 2537 | hand: Left | pinchStrength: 0 | finger: index | distance: 99,05058
timestamp: 2555 | hand: Left | pinchStrength: 0 | finger: index | distance: 98,32851
timestamp: 2574 | hand: Left | pinchStrength: 0 | finger: index | distance: 97,46282
timestamp: 2593 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,36049
timestamp: 2611 | hand: Left | pinchStrength: 0 | finger: index | distance: 94,80629
timestamp: 2629 | hand: Left | pinchStrength: 0 | finger: index | distance: 91,67042
timestamp: 2647 | hand: Left | pinchStrength: 0 | finger: index | distance: 88,4301
timestamp: 2664 | hand: Left | pinchStrength: 0 | finger: index | distance: 84,27584
timestamp: 2684 | hand: Left | pinchStrength: 0 | finger: index | distance: 79,62952
timestamp: 2701 | hand: Left | pinchStrength: 0 | finger: index | distance: 75,68783
timestamp: 2718 | hand: Left | pinchStrength: 0 | finger: middle | distance: 68,25239
timestamp: 2737 | hand: Left | pinchStrength: 0 | finger: middle | distance: 53,65131
timestamp: 2755 | hand: Left | pinchStrength: 0,2867372 | finger: middle | distance: 41,53645
timestamp: 2772 | hand: Left | pinchStrength: 0,5570431 | finger: middle | distance: 31,4969
timestamp: 2791 | hand: Left | pinchStrength: 0,8251719 | finger: middle | distance: 21,5817
timestamp: 2810 | hand: Left | pinchStrength: 1 | finger: middle | distance: 12,78707
timestamp: 2827 | hand: Left | pinchStrength: 1 | finger: middle | distance: 5,239533
timestamp: 2845 | hand: Left | pinchStrength: 1 | finger: middle | distance: 3,314064
timestamp: 2863 | hand: Left | pinchStrength: 1 | finger: middle | distance: 7,873943
timestamp: 2881 | hand: Left | pinchStrength: 1 | finger: middle | distance: 13,71581
timestamp: 2899 | hand: Left | pinchStrength: 1 | finger: middle | distance: 15,92748
timestamp: 2916 | hand: Left | pinchStrength: 1 | finger: middle | distance: 16,95807
timestamp: 2935 | hand: Left | pinchStrength: 1 | finger: middle | distance: 17,12667
timestamp: 2955 | hand: Left | pinchStrength: 1 | finger: middle | distance: 16,36259
timestamp: 2973 | hand: Left | pinchStrength: 1 | finger: middle | distance: 14,7316
timestamp: 2992 | hand: Left | pinchStrength: 1 | finger: middle | distance: 12,53076
timestamp: 3008 | hand: Left | pinchStrength: 1 | finger: middle | distance: 10,61104
timestamp: 3026 | hand: Left | pinchStrength: 1 | finger: middle | distance: 9,071763
timestamp: 3044 | hand: Left | pinchStrength: 1 | finger: middle | distance: 7,897759
timestamp: 3065 | hand: Left | pinchStrength: 1 | finger: middle | distance: 6,736051
timestamp: 3082 | hand: Left | pinchStrength: 1 | finger: middle | distance: 5,907085
timestamp: 3098 | hand: Left | pinchStrength: 1 | finger: middle | distance: 5,300062
timestamp: 3116 | hand: Left | pinchStrength: 1 | finger: middle | distance: 4,829648
