timestamp,hand,pinchStrength,finger
7649,Left,1,pinky
7669,Left,1,pinky
7687,Left,1,pinky
7705,Left,1,pinky
7720,Left,1,pinky
7738,Left,1,pinky
7757,Left,1,pinky
7775,Left,1,pinky
7792,Left,1,pinky
7811,Left,1,pinky
7828,Left,1,pinky
7846,Left,1,pinky
7865,Left,1,pinky
7883,Left,1,pinky
7901,Left,1,pinky
7919,Left,1,pinky
7938,Left,1,pinky
7955,Left,1,pinky
7973,Left,1,pinky
7991,Left,1,pinky
8009,Left,1,pinky
8028,Left,1,pinky
8046,Left,1,pinky
8064,Left,1,pinky
8081,Left,1,pinky
8100,Left,1,pinky
8118,Left,1,pinky
8135,Left,1,pinky
8153,Left,1,pinky
8172,Left,1,pinky
8191,Left,1,pinky
8209,Left,1,pinky
8227,Left,1,pinky
8245,Left,1,pinky
8264,Left,1,pinky
8282,Left,1,pinky
8300,Left,1,pinky
8317,Left,1,pinky
8336,Left,1,pinky
8354,Left,1,pinky
8372,Left,1,pinky
8391,Left,1,pinky
8409,Left,1,pinky
8426,Left,1,pinky
8444,Left,1,pinky
8461,Left,0,9713941,pinky
8479,Left,0,847778,pinky
8497,Left,0,6920014,pinky
8515,Left,0,4867269,pinky
8532,Left,0,212747,pinky
8551,Left,0,pinky
8568,Left,0,pinky
8587,Left,0,pinky
8605,Left,0,pinky
8626,Left,0,index
8644,Left,0,index
8662,Left,0,index
8679,Left,0,index
8697,Left,0,index
8717,Left,0,index
8733,Left,0,index
8751,Left,0,index
8769,Left,0,index
8828,Left,0,index
8845,Left,0,index
8862,Left,0,index
8881,Left,0,index
8899,Left,0,index
8917,Left,0,index
8935,Left,0,index
8954,Left,0,index
8973,Left,0,index
8990,Left,0,index
9004,Left,0,index
9022,Left,0,index
9039,Left,0,index
9060,Left,0,index
9079,Left,0,index
9096,Left,0,index
9114,Left,0,index
9132,Left,0,index
9150,Left,0,index
9168,Left,0,index
9187,Left,0,index
9205,Left,0,index
9222,Left,0,index
9241,Left,0,index
9259,Left,0,index
9277,Left,0,index
9295,Left,0,index
9313,Left,0,index
9329,Left,0,index
9347,Left,0,index
9367,Left,0,index
9384,Left,0,index
9400,Left,0,index
9419,Left,0,index
9437,Left,0,index
9456,Left,0,index
9473,Left,0,103755,index
9492,Left,0,2173453,index
9510,Left,0,3140401,index
9528,Left,0,4038158,index
9546,Left,0,5054022,index
9563,Left,0,6118634,index
9581,Left,0,7117743,index
9600,Left,0,8092121,index
9618,Left,0,9018683,index
9636,Left,0,9882991,index
9655,Left,1,index
9673,Left,1,index
9690,Left,1,index
9708,Left,1,index
9730,Left,1,index
9748,Left,1,index
9764,Left,1,index
9782,Left,1,index
9800,Left,1,index
9818,Left,1,index
9836,Left,1,index
9854,Left,1,index
9873,Left,1,index
9892,Left,1,index
9907,Left,1,index
9925,Left,1,index
9943,Left,1,index
9963,Left,1,index
10039,Left,1,index
10051,Left,1,index
10070,Left,1,index
10088,Left,1,index
10108,Left,1,index
10126,Left,1,index
10144,Left,1,index
10163,Left,1,index
10179,Left,1,index
10198,Left,1,index
10217,Left,1,index
10235,Left,1,index
10253,Left,1,index
10268,Left,1,index
10286,Left,1,index
10304,Left,1,index
10323,Left,1,index
10342,Left,0,9783018,index
10359,Left,0,8048568,index
10377,Left,0,5873331,index
10395,Left,0,3586496,index
10413,Left,0,1283105,index
10432,Left,0,index
10450,Left,0,index
10467,Left,0,index
10486,Left,0,index
10503,Left,0,index
10522,Left,0,index
10540,Left,0,index
10559,Left,0,index
10577,Left,0,index
10594,Left,0,index
10611,Left,0,index
10630,Left,0,index
10647,Left,0,index
10665,Left,0,index
10684,Left,0,index
10702,Left,0,index
10720,Left,0,index
10741,Left,0,index
10760,Left,0,index
10779,Left,0,index
10797,Left,0,index
10814,Left,0,index
10832,Left,0,index
10851,Left,0,index
10866,Left,0,index
10884,Left,0,index
10902,Left,0,index
10920,Left,0,index
10938,Left,0,index
10961,Left,0,index
10979,Left,0,index
10997,Left,0,index
11015,Left,0,index
11033,Left,0,index
11047,Left,0,index
11065,Left,0,index
11082,Left,0,index
11100,Left,0,index
11118,Left,0,index
11136,Left,0,index
11155,Left,0,index
11172,Left,0,index
11235,Left,0,middle
11255,Left,0,middle
11269,Left,0,middle
11282,Left,0,middle
11299,Left,0,middle
11318,Left,0,1065064,middle
11337,Left,0,2070046,middle
11354,Left,0,3171191,middle
11371,Left,0,4263627,middle
11389,Left,0,5443656,middle
11408,Left,0,7077131,middle
11425,Left,0,8867836,middle
11443,Left,1,middle
11461,Left,1,middle
11479,Left,1,middle
11498,Left,1,middle
11515,Left,1,middle
11534,Left,1,middle
11551,Left,1,middle
11570,Left,1,middle
11587,Left,1,middle
11607,Left,1,middle
11625,Left,1,middle
11643,Left,1,middle
11660,Left,1,middle
11678,Left,1,middle
11696,Left,1,middle
11714,Left,1,middle
11732,Left,1,middle
11750,Left,1,middle
11769,Left,1,middle
11786,Left,1,middle
11804,Left,1,middle
11822,Left,1,middle
11841,Left,1,middle
11859,Left,1,middle
11877,Left,1,middle
11895,Left,1,middle
11915,Left,1,middle
11933,Left,1,middle
11952,Left,1,middle
11969,Left,1,middle
11987,Left,1,middle
12004,Left,1,middle
12022,Left,0,8819482,middle
12042,Left,0,4450135,middle
12060,Left,0,06246576,middle
12078,Left,0,index
12096,Left,0,index
12114,Left,0,index
12132,Left,0,index
12150,Left,0,index
12168,Left,0,index
12187,Left,0,index
12205,Left,0,index
12222,Left,0,index
12241,Left,0,index
12259,Left,0,index
12278,Left,0,index
12295,Left,0,index
12313,Left,0,index
12331,Left,0,index
12349,Left,0,index
12367,Left,0,index
12385,Left,0,index
12403,Left,0,index
12422,Left,0,index
12439,Left,0,index
12458,Left,0,index
12476,Left,0,index
12494,Left,0,index
12512,Left,0,index
12530,Left,0,index
12546,Left,0,index
12564,Left,0,index
12584,Left,0,index
12602,Left,0,index
12620,Left,0,index
12639,Left,0,index
12657,Left,0,index
12676,Left,0,index
12691,Left,0,index
12709,Left,0,index
12727,Left,0,index
12744,Left,0,index
12763,Left,0,index
12781,Left,0,middle
12799,Left,0,middle
12817,Left,0,middle
12835,Left,0,middle
12855,Left,0,middle
12874,Left,0,middle
12891,Left,0,middle
12909,Left,0,2313352,ring
12928,Left,0,5769317,ring
12945,Left,0,8036243,ring
12962,Left,0,9390792,ring
12980,Left,0,9985282,ring
12998,Left,0,9966844,ring
13016,Left,0,9575202,ring
13036,Left,0,9033885,ring
13052,Left,0,8479397,ring
13071,Left,0,800335,ring
13089,Left,0,7695443,ring
13107,Left,0,7348426,ring
13125,Left,0,7170777,ring
13143,Left,0,7304359,ring
13161,Left,0,7522669,ring
13178,Left,0,7734497,ring
13197,Left,0,787132,ring
13217,Left,0,8023449,ring
13234,Left,0,8105031,ring
13251,Left,0,8278878,ring
13269,Left,0,8387949,ring
13288,Left,0,8510509,ring
13306,Left,0,8619195,ring
13324,Left,0,8713747,ring
13343,Left,0,8779701,ring
13361,Left,0,8836133,ring
13378,Left,0,8873262,ring
13396,Left,0,8886988,ring
13414,Left,0,8882239,ring
13432,Left,0,8837298,ring
13450,Left,0,8864864,ring
13471,Left,0,8888753,ring
13489,Left,0,8900631,ring
13505,Left,0,8932955,ring
13524,Left,0,8968858,ring
13541,Left,0,9048405,ring
13558,Left,0,9087732,ring
13576,Left,0,90882,ring
13595,Left,0,9133507,ring
13612,Left,0,9179995,ring
13630,Left,0,9197711,ring
13648,Left,0,9190732,ring
13667,Left,0,9186491,ring
13685,Left,0,9179964,ring
13702,Left,0,9103338,ring
13724,Left,0,9024177,ring
13742,Left,0,8985103,ring
13759,Left,0,8854885,ring
13776,Left,0,877628,ring
13793,Left,0,9024139,ring
13811,Left,0,9199032,ring
13829,Left,0,7489056,ring
13847,Left,0,1501433,ring
13867,Left,0,ring
13885,Left,0,middle
13904,Left,0,index
13922,Left,0,index
13940,Left,0,index
13958,Left,0,index
13976,Left,0,index
13994,Left,0,index
14010,Left,0,index
14028,Left,0,index
14046,Left,0,index
14065,Left,0,index
14085,Left,0,index
14101,Left,0,index
14119,Left,0,index
14137,Left,0,index
14156,Left,0,index
14174,Left,0,index
14192,Left,0,index
14209,Left,0,index
14228,Left,0,index
14245,Left,0,index
14264,Left,0,index
14282,Left,0,index
14301,Left,0,index
14318,Left,0,index
14336,Left,0,index
14354,Left,0,index
14374,Left,0,index
14390,Left,0,index
14408,Left,0,index
14426,Left,0,index
14445,Left,0,index
14462,Left,0,index
14481,Left,0,index
14499,Left,0,index
14518,Left,0,index
14537,Left,0,index
14555,Left,0,index
14575,Left,0,index
14589,Left,0,pinky
14607,Left,0,pinky
14625,Left,0,pinky
14646,Left,0,pinky
14664,Left,0,pinky
14679,Left,0,pinky
14700,Left,0,1834308,pinky
14720,Left,0,4022965,pinky
