timestamp,hand,pinchStrength,finger,distance
5197,Left,1,ring,8.709477
5214,Left,1,ring,8.56608
5231,Left,1,ring,8.501542
5249,Left,1,ring,8.481594
5267,Left,1,ring,8.450985
5285,Left,1,ring,8.443172
5303,Left,1,ring,8.431154
5321,Left,1,ring,8.337004
5340,Left,1,ring,8.432896
5358,Left,1,ring,8.648943
5375,Left,1,ring,8.910673
5395,Left,1,ring,9.237813
5412,Left,1,ring,9.493567
5433,Left,1,ring,9.373714
5458,Left,1,ring,7.793888
5486,Left,1,ring,2.819023
5502,Left,0.8000587,ring,22.04824
5520,Left,0.3929972,ring,37.31022
5538,Left,0,ring,59.21213
5556,Left,0,pinky,68.27176
5574,Left,0,pinky,69.54382
5593,Left,0,pinky,71.30521
5611,Left,0,pinky,73.48331
5629,Left,0,pinky,76.769
5647,Left,0,index,79.52303
5666,Left,0,index,80.06124
5684,Left,0,index,80.87775
5701,Left,0,index,81.93716
5719,Left,0,index,82.52569
5737,Left,0,index,83.11063
5755,Left,0,index,83.782
5774,Left,0,index,84.69808
5792,Left,0,index,85.22982
5810,Left,0,index,85.92262
5829,Left,0,index,86.49892
5847,Left,0,index,86.60612
5864,Left,0,index,86.79064
5882,Left,0,index,87.05209
5901,Left,0,index,87.20612
5919,Left,0,index,87.20097
5938,Left,0,index,87.0984
5991,Left,0.1329097,index,49.04379
6008,Left,0,index,78.57241
6027,Left,0,index,89.77857
6045,Left,0,index,90.62595
6063,Left,0,index,91.82066
6081,Left,0,index,91.71235
6099,Left,0,index,91.66786
6117,Left,0,index,91.47638
6135,Left,0,index,91.18112
6154,Left,0,index,90.80388
6171,Left,0,index,90.4809
6189,Left,0,index,90.16452
6207,Left,0,index,89.11337
6225,Left,0,index,88.65047
6244,Left,0,index,88.16978
6261,Left,0,index,87.46709
6279,Left,0,pinky,84.49342
6297,Left,0,pinky,78.24642
6315,Left,0,pinky,73.48758
6334,Left,0,pinky,69.91855
6353,Left,0,pinky,66.00165
6370,Left,0,pinky,62.94858
6388,Left,0,pinky,60.20489
6406,Left,0,pinky,57.91039
6424,Left,0,pinky,55.74269
6442,Left,0.06630355,pinky,53.04214
6461,Left,0.2342409,pinky,46.70781
6479,Left,0.411001,pinky,39.90445
6498,Left,0.5829305,pinky,33.14804
6516,Left,0.7236161,pinky,27.53938
6534,Left,0.8112556,pinky,23.79216
6552,Left,0.854336,pinky,21.84957
6569,Left,0.8558881,pinky,21.63672
6587,Left,0.8505291,pinky,21.79735
6606,Left,0.8251734,pinky,22.82275
6624,Left,0.8091009,pinky,23.47131
6642,Left,0.794809,pinky,24.03189
6660,Left,0.7962769,pinky,23.95081
6678,Left,0.8003252,pinky,23.77194
6696,Left,0.8206551,pinky,22.77363
6715,Left,0.8489677,pinky,21.50736
6733,Left,0.8694692,pinky,20.53445
6749,Left,0.8845525,pinky,19.83072
6767,Left,0.901103,pinky,19.11531
6785,Left,0.911109,pinky,18.65987
6803,Left,0.9128585,pinky,18.54238
6823,Left,0.9250255,pinky,18.03811
6840,Left,0.9397094,pinky,17.44572
6859,Left,0.9488442,pinky,17.08008
6877,Left,0.9619571,pinky,16.56577
6896,Left,0.9772081,pinky,15.96888
6912,Left,0.9846568,pinky,15.67337
6930,Left,0.9953642,pinky,15.26019
6948,Left,1,pinky,14.69626
6967,Left,1,pinky,14.17488
6984,Left,1,pinky,13.68297
7002,Left,1,pinky,13.2673
7020,Left,1,pinky,12.89073
7039,Left,1,pinky,12.59613
7058,Left,1,pinky,12.35026
7076,Left,1,pinky,12.12781
7094,Left,1,pinky,11.85704
7112,Left,1,pinky,11.51351
7130,Left,1,pinky,11.24134
7148,Left,1,pinky,11.06008
7166,Left,1,pinky,11.01354
7184,Left,1,pinky,11.0044
7202,Left,1,pinky,11.01216
7299,Left,1,middle,16.20691
7314,Left,1,middle,5.622061
7347,Left,1,middle,15.37765
7364,Left,0.7322501,middle,27.60217
7382,Left,0.5009974,middle,36.21498
7401,Left,0.5570584,pinky,34.95169
7418,Left,0.648445,pinky,31.71169
7436,Left,0.7626789,pinky,27.16955
7454,Left,0.7430952,pinky,25.44204
7472,Left,0.5683059,pinky,30.89918
7490,Left,0.404431,pinky,36.6102
7508,Left,0.2663578,pinky,41.85574
7528,Left,0,pinky,52.12679
7546,Left,0,pinky,63.70382
7565,Left,0,pinky,74.51213
7582,Left,0,index,78.4553
7600,Left,0,index,80.35379
7618,Left,0,index,83.37545
7637,Left,0,index,86.32967
7654,Left,0,index,88.66862
7672,Left,0,index,90.51075
7690,Left,0,index,92.41257
7708,Left,0,index,94.33131
7727,Left,0,index,95.71224
7747,Left,0,index,96.84014
7763,Left,0,index,97.56156
7780,Left,0,index,98.35201
7798,Left,0,index,98.78931
7816,Left,0,index,99.15938
7834,Left,0,index,99.69197
7852,Left,0,index,100.5315
7870,Left,0,index,100.9047
7888,Left,0,index,100.9778
7906,Left,0,index,101.0963
7924,Left,0,index,100.9255
7944,Left,0,index,100.8417
7962,Left,0,index,100.6661
7980,Left,0,index,100.1735
7997,Left,0,index,99.83843
8015,Left,0,index,99.31393
8032,Left,0,index,98.85341
8051,Left,0,index,98.38754
8069,Left,0,index,98.45857
8087,Left,0,index,97.96994
8105,Left,0,index,98.1436
8124,Left,0,index,97.48839
8144,Left,0,index,96.74831
8162,Left,0,index,94.89149
8180,Left,0,index,92.33549
8196,Left,0,index,88.58058
8215,Left,0,index,82.65118
8231,Left,0,index,75.57301
8250,Left,0,index,67.39561
8268,Left,0,index,58.57491
8288,Left,0.1345986,index,48.30287
8307,Left,0.3850219,index,38.75488
8325,Left,0.6239581,index,29.97579
8342,Left,0.8405476,index,23.04712
8361,Left,0.9963381,index,19.37763
8378,Left,1,index,19.24672
8396,Left,1,index,21.86556
8412,Left,0.9793449,index,26.17761
8430,Left,0.8908464,index,30.05056
8449,Left,0.8161901,index,33.11607
8467,Left,0.7685711,index,34.99081
8486,Left,0.743318,index,35.91607
8504,Left,0.735045,index,36.12983
8521,Left,0.7365943,index,35.96225
8539,Left,0.7407892,index,35.68266
8558,Left,0.7442208,index,35.41621
8575,Left,0.7487252,index,35.07958
8594,Left,0.7542215,index,34.69919
8612,Left,0.7579891,index,34.41288
8630,Left,0.7624738,index,34.11798
8647,Left,0.7683226,index,33.79824
8665,Left,0.7724816,index,33.57606
8684,Left,0.7770993,index,33.34187
8701,Left,0.7831079,index,33.07915
8720,Left,0.7885106,index,32.85146
8738,Left,0.7937827,index,32.64797
8756,Left,0.797151,index,32.52134
8776,Left,0.8001909,index,32.39006
8795,Left,0.8022472,index,32.28551
8814,Left,0.8057472,index,32.13728
8832,Left,0.8084878,index,32.02248
8848,Left,0.808884,index,32.0079
8867,Left,0.808395,index,32.03496
8883,Left,0.8080772,index,32.0524
8902,Left,0.8069736,index,32.08357
8920,Left,0.8088788,index,31.99632
8937,Left,0.8110361,index,31.9045
8955,Left,0.8135597,index,31.7935
8973,Left,0.8137944,index,31.77135
8991,Left,0.8163361,index,31.64449
9010,Left,0.8154259,index,31.65462
9028,Left,0.8151745,index,31.66535
9046,Left,0.8143197,index,31.69711
9063,Left,0.8119023,index,31.78679
9081,Left,0.8111376,index,31.81079
9099,Left,0.8104333,index,31.81911
9118,Left,0.8083743,index,31.84275
9136,Left,0.8072922,index,31.82104
9154,Left,0.8095801,index,31.72636
9172,Left,0.8121526,index,31.60618
9190,Left,0.8850632,index,28.73461
9208,Left,0.9579018,index,25.90128
9227,Left,1,index,23.18495
9245,Left,1,index,20.54227
9263,Left,1,index,17.62207
9281,Left,1,index,14.72701
9298,Left,1,index,11.87816
9316,Left,1,index,11.07109
9335,Left,1,index,12.05971
9353,Left,1,index,15.57061
9371,Left,0.8741003,index,20.61681
9389,Left,0.6945562,index,27.10037
9407,Left,0.5056877,index,34.12866
9426,Left,0.3088936,index,41.59482
9444,Left,0.09911588,index,49.66885
9462,Left,0,index,57.43889
9480,Left,0,index,64.62186
9498,Left,0,index,70.37226
9515,Left,0,index,74.80344
9533,Left,0,index,78.28999
9552,Left,0,index,81.48602
9569,Left,0,index,84.04854
9587,Left,0,index,86.43034
9605,Left,0,index,88.60202
9623,Left,0,index,90.47633
9641,Left,0,index,92.4223
9660,Left,0,index,94.119
9678,Left,0,index,95.97853
9696,Left,0,index,97.83625
9714,Left,0,index,99.59541
9734,Left,0,index,101.0229
9753,Left,0,index,102.3816
9770,Left,0,index,103.4689
9787,Left,0,index,104.4945
9805,Left,0,index,105.1627
9823,Left,0,index,105.6087
9841,Left,0,index,105.7752
9861,Left,0,index,105.6349
9878,Left,0,index,105.3049
9896,Left,0,index,104.7046
9914,Left,0,index,103.9665
9931,Left,0,index,103.1245
9985,Left,0,index,101.3162
10003,Left,0,index,99.76702
10021,Left,0,index,98.51205
